                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7517,                 4.7414,                  2.182,                      0,                      0,                      0,                      0,                 1.5026,                  4.157,                 1.8978,               0.070566,              0.0032704,              0.0032704
                      2,                 1.3301,                 4.3689,                  1.776,                0.02661,                0.56155,                0.05317,                0.02137,                 1.6683,                 3.8594,                 2.2236,               0.040435,               0.006473,               0.006473
                      3,                  1.361,                 4.0627,                 1.8077,                0.08856,                 0.3561,                0.09845,                0.04518,                  1.574,                 7.1744,                 2.0436,               0.010173,              0.0095436,              0.0095436
                      4,                 1.4306,                 3.8033,                 1.8452,                0.11428,                0.22718,                0.06344,                0.02908,                 2.1397,                 7.3722,                 2.8218,               0.009406,               0.009406,               0.009406
                      5,                 1.3932,                 3.5665,                 1.7838,                0.13195,                0.44907,                0.18742,                0.10972,                 1.4114,                 4.7048,                  1.944,               0.009208,               0.009208,               0.009208
                      6,                 1.4015,                 3.4563,                 1.7804,                0.20795,                0.53517,                0.28111,                0.17198,                 1.3964,                  2.532,                 1.8591,                0.00901,                0.00901,                0.00901
                      7,                 1.3577,                 3.2923,                 1.7294,                0.27689,                0.43311,                0.32879,                0.20278,                 1.4651,                 2.5423,                 1.7999,               0.008812,               0.008812,               0.008812
                      8,                 1.3372,                 3.1893,                 1.7028,                0.39224,                0.57069,                 0.4371,                 0.2822,                 1.2649,                 2.2788,                  1.697,               0.008614,               0.008614,               0.008614
                      9,                 1.3147,                 3.0753,                 1.6759,                0.24799,                0.54026,                0.36594,                0.20137,                 1.5536,                 2.4873,                 1.9263,               0.008416,               0.008416,               0.008416
                     10,                 1.2975,                 3.0014,                 1.6709,                 0.3945,                0.65387,                0.59372,                 0.3599,                 1.4999,                  1.856,                 1.9162,               0.008218,               0.008218,               0.008218
                     11,                 1.2519,                 2.8817,                 1.6288,                0.45629,                0.65887,                  0.626,                0.43915,                 1.1012,                 1.7609,                 1.4825,                0.00802,                0.00802,                0.00802
                     12,                 1.2286,                 2.7756,                 1.6113,                0.44157,                0.80509,                0.69721,                0.43537,                  1.371,                 1.6137,                 1.7053,               0.007822,               0.007822,               0.007822
                     13,                 1.2315,                 2.6941,                 1.6106,                 0.6239,                0.74346,                0.77025,                0.57758,                0.94873,                 1.3618,                 1.3406,               0.007624,               0.007624,               0.007624
                     14,                 1.2079,                 2.6183,                 1.5874,                0.63462,                0.69015,                0.78148,                0.54884,                 1.1318,                 1.3729,                 1.4625,               0.007426,               0.007426,               0.007426
                     15,                 1.1997,                 2.5798,                 1.5791,                0.57975,                0.81216,                0.80781,                0.53682,                 1.1808,                 1.3383,                 1.5109,               0.007228,               0.007228,               0.007228
                     16,                 1.1793,                 2.4848,                 1.5528,                0.66287,                0.70502,                0.79074,                0.57886,                 1.0106,                 1.3423,                 1.3624,                0.00703,                0.00703,                0.00703
                     17,                 1.1499,                 2.4017,                 1.5377,                  0.724,                0.76214,                0.86004,                 0.6575,                0.90533,                 1.1382,                 1.3227,               0.006832,               0.006832,               0.006832
                     18,                 1.1451,                 2.3874,                 1.5374,                0.68492,                0.85795,                0.89388,                0.70254,                0.85947,                 1.1524,                 1.2595,               0.006634,               0.006634,               0.006634
                     19,                 1.1413,                 2.3171,                 1.5337,                0.77309,                0.87455,                0.93246,                0.71954,                0.91357,                  0.941,                 1.2717,               0.006436,               0.006436,               0.006436
                     20,                 1.1405,                 2.2587,                 1.5279,                0.80551,                0.88481,                0.93748,                0.65263,                 1.1561,                0.93476,                 1.4729,               0.006238,               0.006238,               0.006238
                     21,                 1.1111,                 2.1851,                 1.4971,                0.81652,                0.88001,                0.95532,                0.74354,                0.91051,                0.88019,                    1.3,                0.00604,                0.00604,                0.00604
                     22,                 1.0982,                 2.1368,                 1.4921,                0.81157,                0.87085,                 0.9478,                 0.7505,                0.85445,                0.85053,                 1.2515,               0.005842,               0.005842,               0.005842
                     23,                  1.087,                 2.1145,                 1.4845,                0.77772,                0.86921,                0.92085,                0.68722,                0.99176,                0.95627,                 1.3221,               0.005644,               0.005644,               0.005644
                     24,                 1.0812,                  2.073,                 1.4734,                0.89457,                0.87908,                0.96102,                0.79007,                0.77041,                 0.7537,                 1.2143,               0.005446,               0.005446,               0.005446
                     25,                  1.069,                 2.0355,                  1.471,                 0.8499,                0.84655,                0.94342,                0.76997,                 0.7885,                0.82164,                 1.2117,               0.005248,               0.005248,               0.005248
                     26,                  1.069,                 2.0224,                 1.4584,                0.81991,                0.89915,                0.94583,                0.71381,                0.94856,                0.83895,                 1.2808,                0.00505,                0.00505,                0.00505
                     27,                 1.0357,                 1.9369,                 1.4521,                0.89505,                0.88317,                0.97412,                0.79012,                0.77121,                0.72412,                 1.1799,               0.004852,               0.004852,               0.004852
                     28,                 1.0385,                  1.949,                 1.4533,                0.89352,                0.87885,                0.95997,                0.80167,                0.71031,                0.70562,                 1.1394,               0.004654,               0.004654,               0.004654
                     29,                 1.0436,                  1.911,                 1.4486,                0.90088,                0.91203,                0.97707,                 0.8132,                 0.6742,                0.68049,                 1.1478,               0.004456,               0.004456,               0.004456
                     30,                 1.0343,                 1.8727,                 1.4439,                 0.8705,                0.95557,                0.98335,                0.78455,                0.82988,                0.66393,                 1.2067,               0.004258,               0.004258,               0.004258
                     31,                 1.0062,                 1.8093,                 1.4204,                0.89269,                 0.9213,                0.97701,                0.80848,                0.72391,                0.66336,                 1.1689,                0.00406,                0.00406,                0.00406
                     32,                 1.0096,                 1.8203,                 1.4207,                0.90887,                0.94081,                0.98583,                0.81883,                0.72694,                0.61263,                 1.1381,               0.003862,               0.003862,               0.003862
                     33,                 1.0094,                 1.7936,                 1.4146,                0.93237,                0.94742,                0.98757,                0.81448,                0.72354,                0.59383,                 1.1176,               0.003664,               0.003664,               0.003664
                     34,                0.98901,                 1.7655,                 1.4199,                0.91979,                0.94719,                0.98719,                0.82203,                0.74411,                0.62027,                 1.1717,               0.003466,               0.003466,               0.003466
                     35,                 0.9821,                 1.7236,                 1.4026,                0.93906,                0.94815,                 0.9874,                 0.8463,                0.65406,                0.57448,                 1.1089,               0.003268,               0.003268,               0.003268
                     36,                0.98586,                 1.7227,                 1.4064,                0.95253,                0.96866,                0.99167,                0.79986,                0.83854,                 0.5505,                 1.2141,                0.00307,                0.00307,                0.00307
                     37,                0.96094,                 1.6772,                 1.3823,                0.95976,                0.95689,                0.99276,                0.83876,                0.69217,                0.53551,                 1.1145,               0.002872,               0.002872,               0.002872
                     38,                0.96789,                 1.6645,                  1.384,                0.94102,                0.97128,                0.99091,                0.84881,                0.64795,                 0.5269,                 1.0909,               0.002674,               0.002674,               0.002674
                     39,                0.95321,                 1.6467,                 1.3719,                0.94294,                0.97351,                0.99402,                0.83641,                0.69477,                0.52454,                  1.109,               0.002476,               0.002476,               0.002476
                     40,                0.93143,                 1.6153,                 1.3646,                0.95719,                0.96986,                0.99021,                0.82597,                0.72122,                0.51451,                  1.134,               0.002278,               0.002278,               0.002278
                     41,                0.59256,                0.91786,                 1.1588,                 0.9033,                0.95517,                0.98454,                0.83112,                0.66445,                0.65151,                  1.167,                0.00208,                0.00208,                0.00208
                     42,                0.58232,                0.83475,                 1.1552,                0.93932,                0.96213,                0.99184,                0.84889,                 0.6549,                0.56942,                 1.1329,               0.001882,               0.001882,               0.001882
                     43,                0.56951,                0.75957,                 1.1481,                0.97269,                0.97389,                0.99409,                0.82686,                0.74461,                0.50717,                  1.178,               0.001684,               0.001684,               0.001684
                     44,                 0.5429,                0.71915,                 1.1179,                0.95724,                0.97854,                 0.9944,                0.85353,                0.63209,                0.50403,                 1.1113,               0.001486,               0.001486,               0.001486
                     45,                0.54768,                0.69577,                 1.1282,                0.97617,                0.97193,                  0.995,                0.85378,                0.64076,                 0.4511,                 1.0902,               0.001288,               0.001288,               0.001288
                     46,                0.52269,                 0.6639,                  1.112,                0.95713,                0.98185,                0.99234,                0.86917,                0.57608,                0.45719,                 1.0576,                0.00109,                0.00109,                0.00109
                     47,                0.51449,                0.65639,                 1.1054,                0.97019,                0.97339,                0.99432,                0.86916,                0.58531,                0.44571,                 1.0592,               0.000892,               0.000892,               0.000892
                     48,                0.50488,                0.63035,                 1.0891,                0.96525,                0.99028,                  0.995,                 0.8826,                0.54943,                0.42189,                 1.0343,               0.000694,               0.000694,               0.000694
                     49,                0.50442,                0.61499,                  1.092,                0.97513,                0.98976,                  0.995,                0.87578,                0.57611,                0.41729,                 1.0469,               0.000496,               0.000496,               0.000496
                     50,                0.48166,                0.60297,                 1.0718,                0.97461,                0.99036,                  0.995,                0.87015,                0.58539,                0.41308,                 1.0509,               0.000298,               0.000298,               0.000298
